gene	NPS_r	NPS_h	NPS_hr
A1BG	0.12531444300216	-0.4885764793176981	-0.061225689369653676
A1CF	2.540446903767773	2.1860420461698777	5.553523747698432
A2M	0.6518453134188125	-0.5818483365436706	-0.37927511129652364
A2ML1	-1.3155169271217877	-1.1086080475486737	1.4583926520937158
A3GALT2	-0.5461069987934329	-0.24347685641740147	0.1329644153337667
A4GALT	-0.8159322149541408	0.11329536193039441	-0.09244133560389775
A4GNT	-0.0209317930794551	0.342154602108658	-0.00716190933252172
AAAS	-1.9117972425854963	2.898241207422614	-5.540849548698213
AACS	-0.1467162878359961	0.5248020070197497	-0.07699700231881804
AADAC	-1.0562850489239923	-0.23240543534810165	0.24548638664687128
AADACL2	-0.5983892709798095	0.007926029734381525	-0.004742851154520855
AADACL3	-0.5173680054263596	1.1195818392747163	-0.5792358230971352
AADACL4	-0.7015215624786643	0.8938400577739192	-0.6270480739355793
AADAT	-1.5222360429862083	0.09473452420022875	-0.1442083072527374
AAGAB	4.865936268973746	0.479662616131597	2.334007720705569
AAK1	0.8931117371803744	0.8232091555012955	0.7352177589325509
AAMDC	-0.5371322157735244	0.09931660465206663	-0.05334614791986767
AAMP	0.5366605258021294	1.5148086580124245	0.8129380108985658
AANAT	1.842722849619668	0.6162266360346125	1.135534902765243
AAR2	0.0990818806123719	0.5868869953847946	0.05814986720966988
AARD	1.0294037172364692	-0.7483415473672542	-0.7703455706223428
AARS	-0.2706077450926601	26.2239638395469	-7.096407722011244
AARS2	10.050365916179476	1.1500509954305929	11.55843332634391
AARSD1	-0.3073159504139699	0.466430438834105	-0.14334151361230804
AASDH	-1.1667028804624389	0.7231679968535071	-0.8437221849872386
AASDHPPT	0.4243836066936292	-0.32414404455720947	-0.13756141871744898
AASS	-1.024454768405328	0.15306622711211187	-0.1568094262468159
AATF	0.7585040137068747	-0.14955147431682686	-0.11343539352509376
AATK	11.41547464141659	11.075727779420934	126.43468960121295
ABAT	-0.960223240876252	-0.08638464167685656	0.08294854059288495
ABCA1	-0.2288291506832556	0.41330076894361784	-0.09457526393410454
ABCA10	0.7393794614707553	0.2299706789550717	0.17003559675986488
ABCA12	0.3180199316997685	-0.8227367128994898	-0.2616466732431878
ABCA13	0.9961156606263536	1.6118072385757354	1.6055464322562074
ABCA2	0.6646939973250838	1.0305649157398855	0.6850103133461327
ABCA3	1.0678530998144395	-0.10228793456896673	-0.1092284880030877
ABCA4	1.2556515222869544	-0.4306963379035762	-0.540804512332042
ABCA5	8.959658004137376	-0.21110715570169367	-1.891447917313355
ABCA6	10.365164505533976	0.023337880736026877	0.2419009730394509
ABCA7	1.0474538297764724	0.6285784533752942	0.6584069083029237
ABCA8	10.930750427419314	-0.7299448942385147	-7.978845464690191
ABCA9	2.136332056611278	-0.022544412518745626	-0.04816235116126488
ABCB1	0.2101677992896562	0.852297962420592	0.1791255871009939
ABCB10	0.5619065119527175	-0.033693940361012975	-0.018932844502199685
ABCB11	-0.7157545989939318	0.44520097458820385	-0.31865464503808744
ABCB4	0.9279761432822334	-0.0365632669982019	-0.03392983949478996
ABCB5	1.413916938260379	-0.056825692795360025	-0.08034680957174031
ABCB6	0.1957630146515439	0.5661980615222048	0.11084063941344711
ABCB7	0.2046029340842662	-0.7662931566024163	-0.15678582820954845
ABCB8	1.1006668928548162	11.328991163010013	12.469445502569902
ABCB9	0.946705818949347	0.7090163241345676	0.6712298797882715
ABCC1	0.6817731259891814	0.4461605297355345	0.30418025905078444
ABCC10	1.7629275907084858	0.3779955953544407	0.6663788642166238
ABCC11	1.6934800166995143	0.10267511585645092	0.17387825691520709
ABCC12	1.3892230486784247	0.10044631280906913	0.1395423329091217
ABCC2	0.428304022735081	1.722237701427497	0.7376413356274163
ABCC3	0.2601118151299467	1.2174390264149635	0.3166702749708313
ABCC4	1.0277664697934283	0.6476433742066819	0.6656261443935058
ABCC5	1.3566993176123363	0.6419353319179326	0.8709132267643078
ABCC6	1.531663837184686	-0.3836138843818738	-0.5875675141496634
ABCC8	0.9141067755354002	0.5693675506741734	0.5204627358412572
ABCC9	0.9086727534429696	-0.035275627493037774	-0.032054001563527154
ABCD1	0.4724939185780885	1.1079564522908485	0.5235026857567799
ABCD2	1.2706167712923475	0.30418018481578574	0.38649644432174324
ABCD3	1.14419927403293	-1.2273262677227037	-1.4043058245298632
ABCD4	1.409719663510711	-0.18245718272782355	-0.2572134782401797
ABCE1	0.6094228164414656	-0.5787204568667932	-0.3526854507560528
ABCF1	0.748799059043387	0.4929648613725967	0.3691316243372541
ABCF2	1.3559462597122216	1.159004193375318	1.5715474009980428
ABCF3	2.358575692198711	1.3422866127228419	3.1658845767318398
ABCG1	1.2885199047612612	-0.02487189378124745	-0.03204793020624517
ABCG2	0.4093527548619194	0.7964361085991377	0.32602331512656385
ABCG4	0.8486898553908435	0.9566556992621246	0.8119039870655987
ABCG5	1.0244352514059334	0.7545211756533603	0.7729580902715506
ABCG8	1.2595999053669746	0.8810349373762979	1.1097515237441833
ABHD1	-1.5212413460720304	1.0079374374553327	-1.5333161041109433
ABHD10	0.0339129968565308	0.03035529298642935	0.00102943895562785
ABHD11	-0.8989997986153353	0.976159636627409	-0.8775673167444595
ABHD12	-0.2909215202791385	1.9988022149445654	-0.5814945791089823
ABHD12B	-0.653461534225181	2.3742904259975166	-1.5515074644684959
ABHD13	-0.9185419620352864	0.6303726341816352	-0.5790237162145511
ABHD14A	-0.3185060320566414	2.7650833612301375	-0.880695729691252
ABHD14A-ACY1	-0.2708043974553441	-0.4390472027946987	0.11889591320727266
ABHD14B	-0.8923751570784615	0.8660977646383134	-0.7728841287644194
ABHD15	-0.8329180381910992	0.14016902618601615	-0.11674931030601339
ABHD16A	-0.1112494782752499	0.3282664215294103	-0.03651946813043016
ABHD16B	-0.6500502530184428	0.8868029146410319	-0.5764664590398952
