	z
UBE2Q1	-0.7556909706795222
RNF14	-1.3951636351479981
UBE2Q2	-0.5150009515479514
TMCO1	1.1155201340265712
UBAC1	-1.232532858060935
RAB4A	-1.2134173701680242
ZNF706	0.5590843560786977
MIB2	2.30991368857834
RNF114	-1.1233992269562825
RNF115	0.24072036640549144
RNF111	1.3833414559486708
EEF1AKNMT	0.31584254977234827
UNKL	0.01117542746745921
MMAB	0.07354254323698992
UBE4A	0.3744651665454457
DDX41	-1.9666017713311175
ATMIN	-0.6753814785775794
TSG101	0.057535168258335906
FBXW11	1.9468732268020195
UBE2D4	-0.9056749957595084
RPS27A	0.5887653296361453
UBE2D2	-1.4780051996586683
ATP6V1H	-0.2466182089760326
UBE2D1	-0.8646183017912221
MFSD11	0.50176272392774
CCT3	3.0930092060737793
LNX1	1.2037578803308424
MRFAP1L1	-1.0436869069217785
GTF2B	-1.2165384091703912
FBXL13	-1.5623242634945367
FBXL12	-0.899372348872091
FBXL15	-1.2265053225721758
FBXL14	0.9354131141945367
FBXL16	-1.5417175367547082
FBXL19	-1.9508279323736255
FBXL18	-0.9330136301899099
CCDC51	-0.3047524140493272
PPP1R11	0.043637664306323466
AKTIP	9.520580382957107
RNF41	-1.1550634341844328
ANAPC1	-0.5050919090292458
ANAPC2	-0.43326043348297794
ANAPC5	-0.9159362118194512
ANAPC4	-1.6790215613689339
ANAPC7	-0.10056741751658739
ZNRF1	-0.999374339641107
LRR1	-0.820120220681511
ZNRF2	-0.7972736342640705
FBXO30	-1.7965655687379634
FBXO5	-0.7661437076464415
FBXO32	-1.6919946909344399
EMC7	-1.0266429007083295
KLHL25	0.19574562922187508
KLHL21	0.12452243955787673
KLHL20	-1.2314069157589258
KLHL22	0.6543859624707659
MKRN1	-1.613942042569109
SPSB2	-1.2918875050145118
SPSB1	-2.0044976313829777
TRIM50	0.6423351036204888
SPSB4	-1.5271744364466853
ARF1	-1.8001352962051196
CDC34	-1.8461609061701103
AREL1	0.02387790409591152
LONRF1	-0.6176895717470499
CIAO2B	0.7441941342487053
RNF25	-0.43856823903418607
UBE2V1	-0.7072341708073033
UBE2V2	-1.489471498871554
RNF26	0.9735216051112552
PSMD8	0.22578515037462027
LMO7	-0.21488901117157114
MGRN1	1.7846803901752868
DHX8	-1.8308514360748762
SPCS1	-0.9662763793280836
ITCH	11.371840382561633
PSMD4	0.43492139985323847
FLAD1	-0.7696500718311857
CBLL2	0.4716239288134556
ARIH2	-1.3237452506058647
TRIP12	-1.5778820092937969
MEX3C	-2.300597712108354
E2F6	-0.1585317524124005
SNW1	-0.4273682594342195
PRCC	0.606891337312914
C3AR1	-0.3715226570390408
BTRC	-0.3702795941646281
TRIM11	-0.07008973361439022
HUWE1	0.23490595438796857
UFC1	1.0692047724179656
LRRC41	-1.8920818124040797
USP25	-1.3740193524958335
MOAP1	-1.9036429829549624
ASB2	-0.4173292951197021
ASB1	-1.366920852929291
ASB6	-1.9621541611103266
ASB7	-1.3369265629470521
ASB4	-0.3670529227417524
ASB5	-1.3174193574385247
ASB8	-1.0040651781644734
ASB9	-1.8201014582463049
PIP4K2C	2.6780271728909724
ZMPSTE24	-1.5332566929463782
MRPL34	-0.4249892100407396
UBE2R2	-1.4175333102879142
IMPA1	-0.4165553419622052
RNF19B	3.5904149780504504
RNF19A	-0.7731788887947028
RFX5	-0.4151483177147803
TRAIP	0.959716817498222
UBA52	0.39758612271474675
KAT7	-0.6782732365131031
EXOSC7	-1.1293838197543065
ADAR	0.02663451367457448
STK24	-0.005965285811710109
GPR161	-0.07895865553753809
UBE2E1	-1.3934212667688957
UBE2E3	-2.1749494857845586
UBE2E2	-0.8244026805573816
DLGAP3	-0.6721552294928741
JTB	19.420413989931884
TRIM9	-1.307692031394432
FBXL20	-1.017529121081285
TRIM4	-0.4141041669507326
FBXW12	-1.0659048786734577
PI4KB	1.4335586064659842
RNPEP	-0.06296121472048927
ELOB	1.6024964633743612
FBXW8	-1.7184101654652915
SKP2	-1.1897833529384687
ZBTB16	-0.43924501259097914
SKP1	-1.226445107599785
DEDD	0.4708240021947225
WDR26	-0.5047509624921267
FBXW9	-1.6934752529785273
FBXO21	-2.0582262925330546
FBXO27	-1.5997978580591183
HNRNPAB	-0.41974496786237897
DDX19B	-0.1335556433873315
FBXO28	-1.3025112155419298
FBXW4	0.5741543883102583
FBXW5	-1.4414797898417555
FBXW7	0.2927546193606712
KLHL11	-1.2837487534018128
